tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,0,1,0,1,0,-0.99,0.33,0.09,-54.92,825.35,-443.48,0

1,0,1,0,1,1,-0.77,0.35,-0.01,13.73,951.83,-1095.44,0
1,1,1,0,1,1,-0.65,0.07,-0.08,67.24,-1096.52,-180.20,0
1,1,1,1,1,0,-1.19,0.06,0.22,-12.92,305.22,196.04,0
1,1,1,0,1,1,-0.75,0.12,-0.12,-68.97,941.89,37.84,0
1,1,1,0,1,1,-0.98,0.12,-0.08,119.67,-1050.96,-1.62,0
1,1,1,0,1,1,-1.19,0.09,0.14,-123.51,607.20,-178.69,0
1,1,1,0,1,1,-0.84,0.09,-0.14,-129.51,1548.82,-283.82,0
0,1,0,0,1,1,-0.78,-0.05,-0.60,28.86,-145.83,3.03,4
0,1,0,0,1,1,-0.90,-0.04,-0.45,8.27,-590.93,-139.99,4
1,1,0,0,1,1,-0.93,-0.07,-0.21,-32.21,-121.40,-18.16,4
1,1,0,0,1,1,-0.76,-0.02,-0.19,7.08,-954.37,44.75,4
1,1,1,0,1,1,-0.94,-0.05,0.18,189.45,-1686.81,68.54,4
1,1,1,1,1,0,-0.96,0.03,0.39,131.61,-480.94,142.10,0
1,1,1,0,1,0,-0.79,0.06,0.41,-165.99,1141.17,31.13,0
1,1,1,0,1,1,-0.91,-0.00,0.17,-255.55,150.64,-245.98,4
1,1,1,0,1,1,-1.00,-0.12,0.22,-505.48,138.42,-846.22,4
1,1,1,0,1,1,-0.71,-0.31,0.09,-415.70,81.94,-1180.03,4
1,1,0,0,1,1,-0.61,-0.51,0.13,132.59,76.27,267.39,0
1,1,0,0,1,1,-0.72,-0.37,0.08,79.56,451.48,1092.74,4
1,1,1,0,1,1,-1.12,-0.17,0.03,-30.11,63.35,459.38,4
1,1,1,0,1,1,-0.94,-0.12,-0.04,-14.00,-54.92,-205.77,4
1,1,1,0,1,1,-0.84,0.02,0.14,335.82,-489.37,1450.83,0
1,0,1,1,1,1,-1.19,0.38,0.07,300.95,-424.35,1287.97,0
